Source,Target,Sort,Time
601991,601005,3,2008/12/31
601991,601088,3,2008/12/31
601991,601333,3,2008/12/31
601991,601766,3,2008/12/31
601991,601866,3,2008/12/31
600115,601111,3,2008/12/31
600115,601186,3,2008/12/31
600115,601588,3,2008/12/31
601111,600115,3,2008/12/31
601111,601186,3,2008/12/31
601111,601588,3,2008/12/31
601186,600115,3,2008/12/31
601186,601111,3,2008/12/31
601186,601588,3,2008/12/31
601588,600115,3,2008/12/31
601588,601111,3,2008/12/31
601588,601186,3,2008/12/31
600548,601390,3,2008/12/31
600548,601628,3,2008/12/31
601390,600548,3,2008/12/31
601390,601628,3,2008/12/31
601628,600548,3,2008/12/31
601628,601390,3,2008/12/31
425,600123,3,2008/12/31
600123,425,3,2008/12/31
600623,600841,3,2008/12/31
600623,600844,3,2008/12/31
600841,600623,3,2008/12/31
600841,600844,3,2008/12/31
600844,600623,3,2008/12/31
600844,600841,3,2008/12/31
600619,600663,3,2008/12/31
600663,600619,3,2008/12/31
16,570,3,2008/12/31
570,16,3,2008/12/31
600295,600602,3,2008/12/31
600295,600611,3,2008/12/31
600295,600680,3,2008/12/31
600295,600776,3,2008/12/31
600295,600819,3,2008/12/31
600295,600827,3,2008/12/31
600295,600835,3,2008/12/31
600295,600851,3,2008/12/31
600295,900929,3,2008/12/31
600295,900949,3,2008/12/31
600602,600295,3,2008/12/31
600602,600611,3,2008/12/31
600602,600680,3,2008/12/31
600602,600776,3,2008/12/31
600602,600819,3,2008/12/31
600602,600827,3,2008/12/31
600602,600835,3,2008/12/31
600602,600851,3,2008/12/31
600602,900929,3,2008/12/31
600602,900949,3,2008/12/31
600611,600295,3,2008/12/31
600611,600602,3,2008/12/31
600611,600680,3,2008/12/31
600611,600776,3,2008/12/31
600611,600819,3,2008/12/31
600611,600827,3,2008/12/31
600611,600835,3,2008/12/31
600611,600851,3,2008/12/31
600611,900929,3,2008/12/31
600611,900949,3,2008/12/31
600680,600295,3,2008/12/31
600680,600602,3,2008/12/31
600680,600611,3,2008/12/31
600680,600776,3,2008/12/31
600680,600819,3,2008/12/31
600680,600827,3,2008/12/31
600680,600835,3,2008/12/31
600680,600851,3,2008/12/31
600680,900929,3,2008/12/31
600680,900949,3,2008/12/31
600776,600295,3,2008/12/31
600776,600602,3,2008/12/31
600776,600611,3,2008/12/31
600776,600680,3,2008/12/31
600776,600819,3,2008/12/31
600776,600827,3,2008/12/31
600776,600835,3,2008/12/31
600776,600851,3,2008/12/31
600776,900929,3,2008/12/31
600776,900949,3,2008/12/31
600819,600295,3,2008/12/31
600819,600602,3,2008/12/31
600819,600611,3,2008/12/31
600819,600680,3,2008/12/31
600819,600776,3,2008/12/31
600819,600827,3,2008/12/31
600819,600835,3,2008/12/31
600819,600851,3,2008/12/31
600819,900929,3,2008/12/31
600819,900949,3,2008/12/31
600827,600295,3,2008/12/31
600827,600602,3,2008/12/31
600827,600611,3,2008/12/31
600827,600680,3,2008/12/31
600827,600776,3,2008/12/31
600827,600819,3,2008/12/31
600827,600835,3,2008/12/31
600827,600851,3,2008/12/31
600827,900929,3,2008/12/31
600827,900949,3,2008/12/31
600835,600295,3,2008/12/31
600835,600602,3,2008/12/31
600835,600611,3,2008/12/31
600835,600680,3,2008/12/31
600835,600776,3,2008/12/31
600835,600819,3,2008/12/31
600835,600827,3,2008/12/31
600835,600851,3,2008/12/31
600835,900929,3,2008/12/31
600835,900949,3,2008/12/31
600851,600295,3,2008/12/31
600851,600602,3,2008/12/31
600851,600611,3,2008/12/31
600851,600680,3,2008/12/31
600851,600776,3,2008/12/31
600851,600819,3,2008/12/31
600851,600827,3,2008/12/31
600851,600835,3,2008/12/31
600851,900929,3,2008/12/31
600851,900949,3,2008/12/31
900929,600295,3,2008/12/31
900929,600602,3,2008/12/31
900929,600611,3,2008/12/31
900929,600680,3,2008/12/31
900929,600776,3,2008/12/31
900929,600819,3,2008/12/31
900929,600827,3,2008/12/31
900929,600835,3,2008/12/31
900929,600851,3,2008/12/31
900929,900949,3,2008/12/31
900949,600295,3,2008/12/31
900949,600602,3,2008/12/31
900949,600611,3,2008/12/31
900949,600680,3,2008/12/31
900949,600776,3,2008/12/31
900949,600819,3,2008/12/31
900949,600827,3,2008/12/31
900949,600835,3,2008/12/31
900949,600851,3,2008/12/31
900949,900929,3,2008/12/31
16,527,3,2008/12/31
16,572,3,2008/12/31
16,600555,3,2008/12/31
16,600561,3,2008/12/31
16,600585,3,2008/12/31
527,16,3,2008/12/31
527,572,3,2008/12/31
527,600555,3,2008/12/31
527,600561,3,2008/12/31
527,600585,3,2008/12/31
572,16,3,2008/12/31
572,527,3,2008/12/31
572,600555,3,2008/12/31
572,600561,3,2008/12/31
572,600585,3,2008/12/31
600555,16,3,2008/12/31
600555,527,3,2008/12/31
600555,572,3,2008/12/31
600555,600561,3,2008/12/31
600555,600585,3,2008/12/31
600561,16,3,2008/12/31
600561,527,3,2008/12/31
600561,572,3,2008/12/31
600561,600555,3,2008/12/31
600561,600585,3,2008/12/31
600585,16,3,2008/12/31
600585,527,3,2008/12/31
600585,572,3,2008/12/31
600585,600555,3,2008/12/31
600585,600561,3,2008/12/31
200771,600611,3,2008/12/31
200771,900950,3,2008/12/31
600611,200771,3,2008/12/31
600611,900950,3,2008/12/31
900950,200771,3,2008/12/31
900950,600611,3,2008/12/31
29,900935,3,2008/12/31
900935,29,3,2008/12/31
16,26,3,2008/12/31
16,725,3,2008/12/31
16,200160,3,2008/12/31
26,16,3,2008/12/31
26,725,3,2008/12/31
26,200160,3,2008/12/31
725,16,3,2008/12/31
725,26,3,2008/12/31
725,200160,3,2008/12/31
200160,16,3,2008/12/31
200160,26,3,2008/12/31
200160,725,3,2008/12/31
600663,900948,3,2008/12/31
900948,600663,3,2008/12/31
600054,600612,3,2008/12/31
600054,600680,3,2008/12/31
600054,600845,3,2008/12/31
600054,900939,3,2008/12/31
600054,900948,3,2008/12/31
600054,900949,3,2008/12/31
600054,900956,3,2008/12/31
600612,600054,3,2008/12/31
600612,600680,3,2008/12/31
600612,600845,3,2008/12/31
600612,900939,3,2008/12/31
600612,900948,3,2008/12/31
600612,900949,3,2008/12/31
600612,900956,3,2008/12/31
600680,600054,3,2008/12/31
600680,600612,3,2008/12/31
600680,600845,3,2008/12/31
600680,900939,3,2008/12/31
600680,900948,3,2008/12/31
600680,900949,3,2008/12/31
600680,900956,3,2008/12/31
600845,600054,3,2008/12/31
600845,600612,3,2008/12/31
600845,600680,3,2008/12/31
600845,900939,3,2008/12/31
600845,900948,3,2008/12/31
600845,900949,3,2008/12/31
600845,900956,3,2008/12/31
900939,600054,3,2008/12/31
900939,600612,3,2008/12/31
900939,600680,3,2008/12/31
900939,600845,3,2008/12/31
900939,900948,3,2008/12/31
900939,900949,3,2008/12/31
900939,900956,3,2008/12/31
900948,600054,3,2008/12/31
900948,600612,3,2008/12/31
900948,600680,3,2008/12/31
900948,600845,3,2008/12/31
900948,900939,3,2008/12/31
900948,900949,3,2008/12/31
900948,900956,3,2008/12/31
900949,600054,3,2008/12/31
900949,600612,3,2008/12/31
900949,600680,3,2008/12/31
900949,600845,3,2008/12/31
900949,900939,3,2008/12/31
900949,900948,3,2008/12/31
900949,900956,3,2008/12/31
900956,600054,3,2008/12/31
900956,600612,3,2008/12/31
900956,600680,3,2008/12/31
900956,600845,3,2008/12/31
900956,900939,3,2008/12/31
900956,900948,3,2008/12/31
900956,900949,3,2008/12/31
2,37,3,2008/12/31
2,39,3,2008/12/31
2,200771,3,2008/12/31
2,600295,3,2008/12/31
2,600320,3,2008/12/31
2,600611,3,2008/12/31
2,600619,3,2008/12/31
2,600623,3,2008/12/31
2,600648,3,2008/12/31
2,600663,3,2008/12/31
2,600680,3,2008/12/31
2,600726,3,2008/12/31
2,600776,3,2008/12/31
2,600819,3,2008/12/31
2,600827,3,2008/12/31
2,600835,3,2008/12/31
2,900929,3,2008/12/31
2,900949,3,2008/12/31
37,2,3,2008/12/31
37,39,3,2008/12/31
37,200771,3,2008/12/31
37,600295,3,2008/12/31
37,600320,3,2008/12/31
37,600611,3,2008/12/31
37,600619,3,2008/12/31
37,600623,3,2008/12/31
37,600648,3,2008/12/31
37,600663,3,2008/12/31
37,600680,3,2008/12/31
37,600726,3,2008/12/31
37,600776,3,2008/12/31
37,600819,3,2008/12/31
37,600827,3,2008/12/31
37,600835,3,2008/12/31
37,900929,3,2008/12/31
37,900949,3,2008/12/31
39,2,3,2008/12/31
39,37,3,2008/12/31
39,200771,3,2008/12/31
39,600295,3,2008/12/31
39,600320,3,2008/12/31
39,600611,3,2008/12/31
39,600619,3,2008/12/31
39,600623,3,2008/12/31
39,600648,3,2008/12/31
39,600663,3,2008/12/31
39,600680,3,2008/12/31
39,600726,3,2008/12/31
39,600776,3,2008/12/31
39,600819,3,2008/12/31
39,600827,3,2008/12/31
39,600835,3,2008/12/31
39,900929,3,2008/12/31
39,900949,3,2008/12/31
