Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
300027,,1,6,2.501480385,121.3977227,0.4640523,0.005063836,18,18,36,3
918,,2,6,1.855292376,1362.536441,0.9775686,0.577709309,685,685,1370,3
600126,,1,6,2.49703923,166.1145958,0.54112554,0.00923324,22,22,44,3
600987,,1,6,2.231680237,3092.609094,0.47204968,0.046428381,92,92,184,3
600052,,1,6,2.49703923,39.32628025,0.6909091,0.002634097,11,11,22,3
600814,,2,6,1.831976314,12707.15484,0.8935732,0.581315741,720,720,1440,3
2102,,1,7,3.563286454,0,1,2.25E-05,2,2,4,3
300412,,1,7,3.563286454,0,1,2.25E-05,2,2,4,3
603979,,1,6,2.564026647,10846.96631,0.4888889,0.001968743,10,10,20,3
300146,,2,5,1.730199852,2.858423915,0.99885094,0.850969859,924,924,1848,3
547,,1,6,2.32938564,1.768059717,0.986786,0.033119644,69,69,138,3
300455,,1,6,2.438564027,2.084541175,0.97317076,0.015215091,41,41,82,3
601985,,1,6,2.234641007,2343.945124,0.5289256,0.065789492,122,122,244,3
300165,,1,6,2.258327165,2753.358075,0.39240506,0.018514444,80,80,160,3
600986,,3,1,1,0,0,1.01E-05,1,1,2,3
603600,,3,1,1,0,0,1.01E-05,1,1,2,3
155,,1,6,2.722427831,11.20097269,0,8.74E-04,3,3,6,3
927,,1,6,2.596965211,291.226915,0.16666667,0.001872735,4,4,8,3
2060,,1,6,2.328275352,771.9256951,0.44511783,0.019294824,55,55,110,3
300045,,1,6,2.295706884,862.2351222,0.73923516,0.034408058,82,82,164,3
300394,,2,5,1.730199852,1185.4423,0.99783784,0.850400886,924,924,1848,3
603456,,1,6,2.473353072,4.463785615,0.91699606,0.003457176,23,23,46,3
300086,,1,6,2.662842339,7.110481081,0.71428573,0.002688269,7,7,14,3
300093,,1,6,2.686158401,1.636438667,0.85714287,0.003496418,7,7,14,3
300216,,2,5,1.727979275,3625.415868,0.9894543,0.850536667,928,928,1856,3
300414,,2,5,1.729089563,3405.328501,0.9915296,0.850491462,927,927,1854,3
900939,,1,6,2.552553664,1482.511234,0.14285715,0.00208737,7,7,14,3
417,,2,5,1.612509252,12447.76456,0.7930593,0.994254044,1191,1191,2382,3
2674,,1,7,2.930051813,301.2552318,0.54285717,3.69E-04,15,15,30,3
601113,,1,7,3.140266469,0,1,7.86E-05,2,2,4,3
600896,,1,6,2.371946706,328.3592563,0.3907563,0.013530197,35,35,70,3
601006,,2,5,1.606217617,4773.108952,0.7739217,0.997271145,1209,1209,2418,3
600722,,1,6,2.579200592,21.87787054,0.46666667,0.003607708,6,6,12,3
2770,,1,6,2.372316802,519.3752511,0.6491964,0.018550028,54,54,108,3
600186,,1,6,2.639896373,250.651088,0.525641,0.001941261,13,13,26,3
1896,,1,6,2.4411547,290.4911924,0.52068967,0.013509814,30,30,60,3
2179,,2,5,1.706513694,9982.926082,0.8986665,0.855676886,979,979,1958,3
590,,1,6,2.321983716,3286.091158,0.4080901,0.016324185,63,63,126,3
2045,,1,6,2.349370836,419.3269864,0.3846154,0.01079511,39,39,78,3
2305,,2,5,1.722057735,8431.837295,0.9620858,0.851600592,942,942,1884,3
2368,,1,6,2.202072539,2870.822421,0.4378156,0.049981266,131,131,262,3
2549,,1,6,2.354182087,456.1638476,0.48039216,0.01588187,52,52,104,3
300301,,2,5,1.728719467,861.1878788,0.98950315,0.850556963,928,928,1856,3
300396,,2,5,1.709104367,9195.614819,0.9051221,0.854482593,974,974,1948,3
338,,2,5,1.616950407,12715.34181,0.80578077,0.993650828,1181,1181,2362,3
157,,2,5,1.622131754,1976.173048,0.82212144,0.993399498,1169,1169,2338,3
300137,,1,6,2.339748335,811.6962366,0.31794873,0.008132785,40,40,80,3
300142,,1,6,2.451887491,179.3866292,0.5473684,0.003964711,20,20,40,3
600184,,2,5,1.599555885,15246.94192,0.7551452,0.996278568,1223,1223,2446,3
600015,,2,5,1.621761658,1557.749148,0.82490325,0.993352477,1167,1167,2334,3
600265,,1,6,2.697631384,7.52655868,0.33333334,9.07E-04,3,3,6,3
779,,1,6,2.633974833,105.2370283,0.43636364,0.001919132,11,11,22,3
600793,,1,6,2.537379719,57.99499329,0.64102566,0.007623283,13,13,26,3
300354,,2,5,1.707994078,10027.38299,0.90439844,0.854736505,975,975,1950,3
607,,1,7,3.275351591,17.67648469,0,5.46E-05,2,2,4,3
300054,,1,6,2.353071799,383.5976784,0.3952381,0.010848824,36,36,72,3
300161,,1,6,2.510732791,91.93991036,0.40952381,0.005483569,15,15,30,3
966,,2,6,1.860473723,1.280739012,0.9989437,0.57569788,676,676,1352,3
548,,1,6,2.550703183,19.1789427,0.33333334,0.002641517,7,7,14,3
600119,,1,6,2.257586973,348.8246986,0.9429134,0.100675954,128,128,256,3
600490,,2,6,1.84900074,12661.12215,0.9403872,0.578619387,701,701,1402,3
600731,,1,6,2.438934123,234.6521248,0.6,0.015113053,26,26,52,3
600975,,1,6,2.427831236,118.2641696,0.7462462,0.007143014,37,37,74,3
603799,,1,6,2.53626943,180.1729957,0.45454547,0.002871592,11,11,22,3
600268,,1,6,2.381939304,729.0855392,0.5232558,0.027483269,44,44,88,3
