Stkcd,Accper,Typrep,net_profit,A003100000,net_property,group,Msmvttl,Mretwd,Mnvaltrd
66,06/30/2015,A,-404180480.6,2480059147.2,8227452635.3,2,28510212.3,-0.01,14312028570
66,09/30/2015,A,-560967117.3,2491105507.1,8209018154.7,3,,,
68,03/31/2015,A,-14237274.03,598746417.14,624323912.07,1,,,
68,06/30/2015,A,-28588277.77,585533586.95,609972908.33,2,11189153.32,0.03,5806136686
68,09/30/2015,A,-28617742.08,585670349.34,624443444.02,3,10865340.67,0.0166666667,3213741622.7
69,03/31/2015,A,551501425.2,28632703114,32793157167,1,76979281.62,0.14,31852464793
69,06/30/2015,A,1600185608,28946268700,32817379826,2,73367848.067,-0.106666667,39800188890
69,09/30/2015,A,2860959313,29978924074,33895030093,3,57038232.467,0.0166666667,9950561416
70,03/31/2015,A,16569832.27,1082167972.4,1278020954.3,1,7395590,0.73,5953388463
70,06/30/2015,A,46843324.86,1099709972.7,1301248446.9,2,5588020,-0.12,5416051862
70,09/30/2015,A,67998084.49,1114601248,1319953206.5,3,6808423.3333,0.1033333333,5400026670
78,03/31/2015,A,44790277.68,1466665343.7,1841841424,1,15736725.973,0.4366666667,21316678445
78,06/30/2015,A,86056667.08,1673324541,2062179486.4,2,13264310.883,-0.22,19446546232
78,09/30/2015,A,393221796.3,1829978665.3,2170979514.3,3,12195741.21,0.0966666667,13748447990
88,03/31/2015,A,80248615.61,5201666882.9,5621436005.8,1,21888594,0.04,13046856171
88,06/30/2015,A,167121536.8,5182108526.7,5703981527,2,19687434,-0.096666667,13729549816
88,09/30/2015,A,447592430.9,5397295749.3,5972785471.1,3,15162108,0.0433333333,3315556613.7
89,03/31/2015,A,94274237.99,7995637538.1,8017248260.8,1,18325663.037,0.2733333333,8532017380.7
89,06/30/2015,A,221357468,9921249893.3,9945311354.4,2,18121966.56,-0.183333333,15727991390
89,09/30/2015,A,344074325.2,10041760327,10068102339,3,15155186.673,0.05,4770584639.7
90,03/31/2015,A,47204809.58,3907401840.6,3917415771.5,1,12566392.023,0.2133333333,7730493062.7
90,06/30/2015,A,220766506.3,3980485379.4,3990508088.5,2,10765141.633,-0.18,9311807136.3
90,09/30/2015,A,258020502.6,4017717305.8,4069606942.1,3,9448276.5767,0.09,4197417279.7
96,03/31/2015,A,139143540.5,1999385446.4,2020259276.8,1,7217760,0.33,5684066173.3
96,06/30/2015,A,188211671.9,2037583764.3,2057104906.4,2,9709920,-0.036666667,12762440476
96,09/30/2015,A,212332124.9,2061512867.8,2081885844.9,3,8166400,0.0166666667,5733096492
99,03/31/2015,A,36352527.6,2729484357.4,2759522005.2,1,11598167.603,0.1866666667,13185093913
99,06/30/2015,A,84311545.96,2730863791.9,2762025742.1,2,10703203.62,-0.103333333,17172828716
99,09/30/2015,A,146586147.1,2792369727.7,2824300343.2,3,8731454.5167,-0.003333333,10512941320
100,03/31/2015,A,982205588,23524501823,32611161205,1,75331481.477,0.0933333333,68959238955
100,06/30/2015,A,2088953000,24491628000,35515732000,2,59342535.183,-0.14,68724013524
100,09/30/2015,A,2610068747,24053142380,35838552442,3,47349534.027,-0.016666667,15283801735
150,03/31/2015,A,3767221.83,1692621515.9,1695982147.7,1,21167736.535,0.315,4690277938.5
150,06/30/2015,A,2116070.99,1637842892.2,1638827446.2,2,,,
150,09/30/2015,A,2159159.92,1637628339.2,1638870535.2,3,16649385.33,-0.17,6372603070
151,03/31/2015,A,23803346.34,1017302307.8,1024172039,1,7374835,0.04,7225993052.3
151,06/30/2015,A,70409102.21,944006219.1,950826276.16,2,7748756.4,-0.016666667,19224018277
151,09/30/2015,A,85373808.88,959850069.63,966534421.76,3,7170608.8,0.0666666667,13318217545
153,03/31/2015,A,5944207.82,1118773785,1153223805.8,1,4588476.0833,0.1133333333,5858490108
