Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
600804,,4,4,2.194598594,10094.40695,0.6125201,0.726211868,202,203,405,2
200152,,3,5,3.020347762,79.01900711,0.83625734,0.008403542,18,19,37,2
425,,4,4,2.265260821,2328.198986,0.5524369,0.349965858,130,130,260,2
917,,8,5,2.629670736,678.1090557,0.3923077,0.03324948,25,25,50,2
600027,,3,5,2.480577137,9277.685008,0.43456948,0.113979394,68,69,137,2
600160,,2,5,2.613392527,1885.356833,0.35481998,0.049513101,41,42,83,2
601006,,4,4,2.230854606,8974.872692,0.6403787,0.715197476,189,190,379,2
601668,,4,4,2.243063263,12278.92342,0.6818291,0.705511989,182,182,364,2
2302,,4,5,2.820569737,5.486791127,0.85897434,0.016289054,12,13,25,2
858,,6,4,2.275249723,14501.29188,0.23499486,0.185870425,139,140,279,2
601688,,3,5,2.56381798,2629.972553,0.45547786,0.098375058,66,50,116,2
989,,6,5,2.512763596,3539.521775,0.35568628,0.047247105,50,51,101,2
2233,,2,5,2.741398446,593.1406129,0.5642857,0.015043206,20,21,41,2
2646,,8,5,2.426933037,5166.442457,0.47241247,0.065879468,72,73,145,2
2768,,2,5,2.55826859,11608.17056,0.36627907,0.029725468,43,44,87,2
2776,,6,5,2.689974103,6511.365022,0.44704434,0.018345274,28,29,57,2
