Stkcd,Accper,Typrep,B002000000
333,3/31/2015,A,3650789740
338,9/30/2015,A,1565795764
338,6/30/2015,A,1306136287
338,3/31/2015,A,760727168.3
400,9/30/2015,A,184357037.3
400,6/30/2015,A,94214777.83
400,3/31/2015,A,12700163.99
401,9/30/2015,A,-902223399.8
401,6/30/2015,A,-51385904.46
401,3/31/2015,A,-719317806.7
402,9/30/2015,A,1061387158
402,6/30/2015,A,888657544.7
402,3/31/2015,A,799833767.3
403,9/30/2015,A,61703073.19
403,6/30/2015,A,49542899.45
403,3/31/2015,A,11782649.16
404,9/30/2015,A,275928729.3
404,6/30/2015,A,189365254.5
404,3/31/2015,A,67856038.67
407,9/30/2015,A,19543424.12
407,6/30/2015,A,13343292.16
407,3/31/2015,A,5719419.02
408,9/30/2015,A,-5042787.07
408,6/30/2015,A,-2831162.19
408,3/31/2015,A,314396.87
409,9/30/2015,A,26539836.03
409,6/30/2015,A,-44275085.9
409,3/31/2015,A,-24260830.94
410,9/30/2015,A,-471589920.7
410,6/30/2015,A,-266238317.8
410,3/31/2015,A,-142677730.5
411,9/30/2015,A,116572766.3
411,6/30/2015,A,77235070.61
411,3/31/2015,A,36221248.49
413,9/30/2015,A,825135050.7
413,6/30/2015,A,453866152.5
413,3/31/2015,A,220408956.2
415,9/30/2015,A,1300407000
415,6/30/2015,A,822867000
415,3/31/2015,A,341817000
416,9/30/2015,A,-16968260.24
416,6/30/2015,A,26643530.63
416,3/31/2015,A,12205496.09
417,9/30/2015,A,255329740.3
417,6/30/2015,A,202075821.7
417,3/31/2015,A,119150036.3
418,9/30/2015,A,798716331.9
418,6/30/2015,A,498509022.1
418,3/31/2015,A,277163481.1
419,9/30/2015,A,102155104.7
419,6/30/2015,A,86829313.3
419,3/31/2015,A,37765439.76
420,9/30/2015,A,-3838482.94
420,6/30/2015,A,-6395837.08
420,3/31/2015,A,-47219575.59
421,9/30/2015,A,165326446.5
421,6/30/2015,A,117319065.6
421,3/31/2015,A,115906119.8
422,9/30/2015,A,42698358.09
422,6/30/2015,A,36570398.04
422,3/31/2015,A,11429740.75
423,9/30/2015,A,1134302924
423,6/30/2015,A,774299831.3
423,3/31/2015,A,528379671.2
425,9/30/2015,A,-36438566.75
425,6/30/2015,A,-25758157.11
425,3/31/2015,A,-425466453.1
426,9/30/2015,A,21983675.98
426,6/30/2015,A,20217890.09
