Stkcd,Accper,Typrep,A003100000,A003000000
426,6/30/2015,A,2753410451.02 ,2755785884.20 
426,3/31/2015,A,2764060410.17 ,2766437168.11 
428,9/30/2015,A,1561897269.87 ,1830104717.22 
428,6/30/2015,A,1585929162.81 ,1843270334.20 
428,3/31/2015,A,1491830440.38 ,1766021346.94 
429,9/30/2015,A,5048500361.61 ,5954364525.79 
429,6/30/2015,A,5235242444.46 ,6116467391.87 
429,3/31/2015,A,5070837600.38 ,5943990436.96 
430,9/30/2015,A,625384485.76 ,631474352.77 
430,6/30/2015,A,540614689.73 ,546630678.69 
430,3/31/2015,A,489022275.44 ,493683870.81 
488,9/30/2015,A,16531169468.81 ,16926036501.03 
488,6/30/2015,A,13938653299.56 ,14346703426.94 
488,3/31/2015,A,14005559500.95 ,14422734508.42 
498,9/30/2015,A,2860742884.62 ,2863389260.27 
498,6/30/2015,A,2771362064.98 ,2773593665.49 
498,3/31/2015,A,2679741463.27 ,2682829282.98 
501,9/30/2015,A,3956904085.87 ,3959283013.66 
501,6/30/2015,A,3809430821.12 ,3811602451.45 
501,3/31/2015,A,3818409791.38 ,4027734109.41 
502,9/30/2015,A,194834166.90 ,216665578.20 
502,6/30/2015,A,198470936.91 ,220213164.56 
502,3/31/2015,A,200960460.80 ,222775558.67 
503,9/30/2015,A,1232788464.58 ,1238495492.98 
503,6/30/2015,A,1288164954.50 ,1297854459.16 
503,3/31/2015,A,1293462030.41 ,1307421378.93 
504,9/30/2015,A,-5741105.63 ,-3511939.23 
504,6/30/2015,A,-2644585.05 ,-407347.19 
504,3/31/2015,A,900193.61 ,3147647.55 
505,9/30/2015,A,-143749900.57 ,-145502113.15 
505,6/30/2015,A,-88070500.20 ,-87431269.93 
505,3/31/2015,A,-39622390.20 ,-37746557.55 
506,9/30/2015,A,1367691237.28 ,1474576276.79 
506,6/30/2015,A,1405266238.89 ,1508030726.03 
506,3/31/2015,A,1391736822.45 ,1506184702.55 
507,9/30/2015,A,2501594565.67 ,2773623353.82 
507,6/30/2015,A,2485693363.84 ,2684133382.64 
507,3/31/2015,A,2428985540.41 ,2626083852.57 
509,9/30/2015,A,14713110.54 ,-16685753.71 
509,6/30/2015,A,21874873.07 ,-9210772.20 
509,3/31/2015,A,31307730.75 ,577162.36 
510,9/30/2015,A,648356703.34 ,699495112.07 
510,6/30/2015,A,663991470.12 ,718630762.87 
510,3/31/2015,A,684552099.39 ,743195141.54 
511,9/30/2015,A,1455380507.74 ,1455380507.74 
511,6/30/2015,A,1437617010.26 ,1437617010.26 
511,3/31/2015,A,1393664178.11 ,1393664178.11 
513,9/30/2015,A,4184314236.59 ,4590119070.38 
513,6/30/2015,A,4238202782.43 ,4633352022.50 
513,3/31/2015,A,4110132509.42 ,4505562409.08 
514,9/30/2015,A,2810963645.26 ,3350139168.32 
514,6/30/2015,A,2758903092.23 ,3294750933.30 
514,3/31/2015,A,2793605018.94 ,3351706107.17 
516,9/30/2015,A,3241779446.91 ,3248430672.94 
516,6/30/2015,A,3224463992.10 ,3231123367.23 
516,3/31/2015,A,1693535183.17 ,1696806069.23 
517,9/30/2015,A,3534800762.36 ,3534800762.36 
517,6/30/2015,A,3585724013.78 ,3585724013.78 
517,3/31/2015,A,3672354773.37 ,3672354773.37 
518,9/30/2015,A,676442658.31 ,708160718.38 
518,6/30/2015,A,685164488.46 ,723837990.30 
518,3/31/2015,A,691165638.75 ,731243063.78 
519,9/30/2015,A,4150029852.51 ,4155291168.07 
519,6/30/2015,A,4081832281.61 ,4086752713.99 
519,3/31/2015,A,4035139789.00 ,4040408689.40 
520,9/30/2015,A,233328192.57 ,233328192.57 
520,6/30/2015,A,242942484.99 ,242942484.99 
520,3/31/2015,A,134972101.29 ,138102821.52 
521,9/30/2015,A,3523152893.97 ,3551905045.33 
521,6/30/2015,A,3526953220.26 ,3550943166.21 
521,3/31/2015,A,3476300439.44 ,3488697328.15 
523,9/30/2015,A,1092898915.03 ,1098729039.63 
523,6/30/2015,A,1070777817.96 ,1077705588.60 
523,3/31/2015,A,1070762507.93 ,1077977302.98 
524,9/30/2015,A,583296122.65 ,583296122.65 
524,6/30/2015,A,614725281.19 ,614725281.19 
524,3/31/2015,A,580024903.71 ,580024903.71 
525,9/30/2015,A,3939254005.60 ,3942789463.96 
525,6/30/2015,A,3899707060.08 ,3902944653.93 
525,3/31/2015,A,3879817281.92 ,4022633139.28 
526,9/30/2015,A,159212334.28 ,160493389.63 
526,6/30/2015,A,158571095.14 ,159830858.37 
526,3/31/2015,A,158096608.19 ,159337657.90 
528,9/30/2015,A,8894056171.80 ,8896883967.23 
528,6/30/2015,A,8974175080.58 ,8977109738.16 
528,3/31/2015,A,9142420755.75 ,9145340431.63 
529,9/30/2015,A,1130503197.24 ,1142097100.61 
529,6/30/2015,A,1106010270.53 ,1117225785.89 
529,3/31/2015,A,1081827988.37 ,1093538220.76 
530,9/30/2015,A,2526677360.72 ,2585004775.93 
530,6/30/2015,A,2891763301.60 ,2979847698.70 
530,3/31/2015,A,2047116199.05 ,2139062236.56 
531,9/30/2015,A,3439906900.43 ,3789098830.24 
531,6/30/2015,A,3345248318.48 ,3638082233.98 
531,3/31/2015,A,3280177626.77 ,3625632288.77 
532,9/30/2015,A,692851659.69 ,899718757.36 
532,6/30/2015,A,692361446.40 ,902782055.65 
532,3/31/2015,A,684582784.15 ,881439867.93 
533,9/30/2015,A,1367811603.01 ,2104683930.28 
533,6/30/2015,A,1343753050.05 ,2068187496.44 
533,3/31/2015,A,1342703630.73 ,2057463812.84 
534,9/30/2015,A,1284988604.88 ,1638344050.92 
534,6/30/2015,A,1276305942.91 ,1632246831.68 
534,3/31/2015,A,1259908820.32 ,1618883731.78 
536,9/30/2015,A,2610983591.29 ,3192075952.64 
536,6/30/2015,A,2808628919.19 ,4067953042.40 
536,3/31/2015,A,2807021211.51 ,4048352640.93 
537,9/30/2015,A,1937397784.72 ,2714626604.84 
537,6/30/2015,A,1898621394.16 ,2653921098.79 
537,3/31/2015,A,1858593228.67 ,2573704648.09 
538,9/30/2015,A,12801679091.02 ,12904338875.29 
538,6/30/2015,A,12435535740.73 ,12542189486.85 
538,3/31/2015,A,11746527111.95 ,11856958677.15 
539,9/30/2015,A,23121001042.00 ,29401857746.00 
539,6/30/2015,A,22350256396.00 ,28540512828.00 
539,3/31/2015,A,22141499239.00 ,28620823048.00 
540,9/30/2015,A,8919019494.92 ,9257505234.24 
540,6/30/2015,A,8427885752.24 ,8760357689.37 
540,3/31/2015,A,7667108118.96 ,8001064084.45 
541,9/30/2015,A,4565039287.43 ,4609108942.72 
541,6/30/2015,A,4325397037.15 ,4371568073.42 
541,3/31/2015,A,3126382990.82 ,3174785316.86 
543,9/30/2015,A,8428454064.71 ,12278975320.64 
543,6/30/2015,A,9799163663.37 ,13475395666.96 
543,3/31/2015,A,9402396087.49 ,13347208150.32 
544,9/30/2015,A,961399664.41 ,977959921.05 
544,6/30/2015,A,914954515.15 ,931512885.95 
544,3/31/2015,A,907865374.00 ,923785975.72 
545,9/30/2015,A,1718542349.18 ,1718542349.18 
545,6/30/2015,A,1689049790.11 ,1689049790.11 
545,3/31/2015,A,1635321588.33 ,1635321588.33 
546,9/30/2015,A,1776609316.94 ,1894286429.97 
546,6/30/2015,A,1639236118.45 ,1717642145.78 
546,3/31/2015,A,1604721414.43 ,1683305660.84 
547,9/30/2015,A,5129617804.75 ,5316517834.77 
547,6/30/2015,A,2378956331.75 ,2546575687.97 
547,3/31/2015,A,2342579439.03 ,2506300582.11 
548,9/30/2015,A,1470434515.27 ,1488270175.21 
548,6/30/2015,A,1467775872.21 ,1488214541.57 
548,3/31/2015,A,1489448990.24 ,1515406311.89 
550,9/30/2015,A,11301509715.21 ,11301509715.21 
550,6/30/2015,A,10842643485.00 ,10842643485.00 
550,3/31/2015,A,11172478739.13 ,11172478739.13 
551,9/30/2015,A,1317653892.68 ,1736668381.53 
551,6/30/2015,A,1307297494.73 ,1722939733.01 
551,3/31/2015,A,1337650903.61 ,1760267910.25 
552,9/30/2015,A,6143952653.41 ,6144603162.57 
552,6/30/2015,A,6145780068.21 ,6146326680.77 
552,3/31/2015,A,6150882645.03 ,6151369056.13 
553,9/30/2015,A,2102300609.37 ,2102151876.42 
553,6/30/2015,A,2071115738.60 ,2070846194.38 
553,3/31/2015,A,2087291856.91 ,2087054807.14 
554,9/30/2015,A,914833440.79 ,919885550.43 
554,6/30/2015,A,916296011.87 ,922160927.54 
554,3/31/2015,A,914470160.96 ,919478851.48 
555,9/30/2015,A,3079874334.31 ,3102517303.26 
555,6/30/2015,A,3014871458.98 ,3024181521.59 
555,3/31/2015,A,2953508067.70 ,2976271072.67 
557,9/30/2015,A,140720208.12 ,141218186.42 
557,6/30/2015,A,140659762.65 ,141158200.91 
557,3/31/2015,A,140661332.09 ,141160302.85 
