Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
2448,,1,6,2.616950407,0,1,0.001008264,2,2,4,3
603021,,1,7,3.548852702,0,0,1.43E-05,1,1,2,3
2154,,2,5,1.724648409,1826.341166,0.9703859,0.851550758,938,938,1876,3
2670,,1,7,3.214655811,46.78378854,0.46666667,1.05E-04,6,6,12,3
600575,,1,6,2.455588453,190.6825773,0.6817654,0.029419438,42,42,84,3
2070,,1,6,2.376017765,374.1689194,0.44923076,0.008200781,26,26,52,3
600577,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
820,,1,6,2.569207994,15.91629559,0.2,0.00110423,5,5,10,3
955,,1,6,2.467061436,233.5054097,0.3508772,0.004139679,19,19,38,3
601008,,2,6,1.859733531,9626.683519,0.9916036,0.574975661,678,678,1356,3
967,,1,6,2.366025167,166.8609772,0.6079734,0.012804467,43,43,86,3
600269,,2,6,1.85788305,735.5566176,0.9875314,0.575839404,680,680,1360,3
2098,,1,6,2.298667654,1858.122228,0.3525151,0.023251153,71,71,142,3
2373,,1,7,3.570318283,0,0,1.15E-05,1,1,2,3
2497,,1,7,3.234641007,0,1,8.55E-05,2,2,4,3
2641,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
716,,1,6,2.701332346,0,1,8.98E-04,3,3,6,3
902,,1,6,2.440784604,188.3123254,0.65527064,0.005347408,27,27,54,3
916,,1,6,2.396002961,336.98432,0.47638327,0.01090279,39,39,78,3
600033,,1,6,2.448926721,68.78300068,0.6516129,0.013374286,31,31,62,3
600035,,2,6,1.858623242,1353.543647,0.9830267,0.575029192,681,681,1362,3
600368,,1,6,2.551813472,6.482135045,0.8076923,0.005161654,13,13,26,3
601872,,1,6,2.27942265,555.9673554,0.7363832,0.05880832,92,92,184,3
2606,,2,5,1.719837158,5790.335943,0.9572463,0.851039485,944,944,1888,3
603703,,1,6,2.340118431,846.3177099,0.5096045,0.012244108,60,60,120,3
2260,,1,6,2.215025907,2216.180267,0.48087433,0.048333275,123,123,246,3
300429,,1,6,2.389711325,1678.590292,0.7882353,0.010295639,35,35,70,3
2173,,1,6,2.288675056,756.1845033,0.50170505,0.019921137,69,69,138,3
300003,,2,5,1.702442635,17901.36427,0.8870618,0.85462124,984,984,1968,3
600211,,1,6,2.271280533,1157.49086,0.49122807,0.0239171,76,76,152,3
603669,,1,6,2.344559585,89.11421305,0.82312924,0.016610297,49,49,98,3
603883,,1,6,2.280162842,430.843263,0.5899403,0.029078929,69,69,138,3
2190,,2,5,1.710584752,4233.097471,0.91465706,0.854058262,969,969,1938,3
600316,,2,5,1.605477424,7424.159767,0.7709643,0.995797476,1210,1210,2420,3
600365,,1,7,2.79607698,57.75891326,0.4,6.84E-04,5,5,10,3
2639,,1,7,3.361584012,0,0,1.98E-05,1,1,2,3
300437,,1,7,3.599925981,0,0,1.17E-05,1,1,2,3
600707,,1,6,2.492227979,198.5924393,0.44761905,0.003286499,15,15,30,3
600267,,2,5,1.622871947,1205.01657,0.8248981,0.993347581,1167,1167,2334,3
300461,,1,7,3.316062176,0,0,2.41E-05,1,1,2,3
600091,,2,6,2.618060696,0,0,9.97E-04,1,1,2,3
600609,,2,6,2.573279053,0,1,0.003962666,7,7,14,3
600742,,2,6,1.85788305,907.382498,0.98937887,0.576654402,680,680,1360,3
600733,,0,6,2.604367135,0,0,0.001001683,1,1,2,3
766,,1,6,2.65099926,0,1,0.00187509,9,9,18,3
600746,,1,6,2.65099926,0,1,0.00187509,9,9,18,3
838,,1,6,2.435233161,277.0604507,0.5233333,0.004435551,25,25,50,3
2458,,1,6,2.43042191,130.2164919,0.55291003,0.014688526,28,28,56,3
2138,,1,6,2.461880089,422.7141948,0.44333333,0.001497708,25,25,50,3
2291,,1,6,2.455588453,24.14295005,0.90909094,0.004427415,22,22,44,3
2589,,1,6,2.325314582,913.1437102,0.40081632,0.007776879,50,50,100,3
300028,,1,6,2.315321984,2084.691021,0.2669462,0.010560862,54,54,108,3
300166,,1,6,2.342339008,909.4129581,0.37727273,0.012564637,56,56,112,3
2095,,2,5,1.723168024,3021.88328,0.9710227,0.85083134,937,937,1874,3
2425,,1,6,2.588452998,31.72528307,0.71428573,0.001884284,7,7,14,3
